x;y;Density;Altitude
106.7989904;-6.157685591;94525.15723;5
106.8039345;-6.150273011;76055.10142;5
106.8039938;-6.137369296;36465.29563;6
106.8094336;-6.136367348;7516.007533;7
106.8088077;-6.14464027;44500.52947;6
106.8096283;-6.153558396;52418.38558;5
106.8637832;-6.179942491;36910.64249;9
106.8716829;-6.176011604;13441.59928;7
106.8659525;-6.190463325;21983.16633;10
106.8082692;-6.172999771;15333.12233;7
106.8045287;-6.163394078;36214.11399;6
106.8266654;-6.176389881;1196.376026;8
106.8244988;-6.164165217;16563.38028;8
106.8163549;-6.174781677;16585.38732;6
106.8152434;-6.165358684;20023.2475;5
106.8552452;-6.176269929;88652.67176;10
106.856969;-6.185703278;39507.13686;8
106.8556019;-6.179626251;91079.37562;10
106.8491803;-6.1792085;77808.63702;7
106.8627292;-6.168113808;42602.43632;6
106.8439132;-6.159889834;16179.62116;7
106.8558124;-6.17052585;55010.28999;8
106.8535759;-6.158072994;33130.34465;5
106.8453449;-6.164717669;50254.99524;7
106.8610853;-6.158938323;46197.25161;6
106.8710178;-6.163503441;25498.69452;4
106.8542783;-6.165365044;70241.55484;5
106.8394722;-6.191573393;12709.22159;9
106.8294523;-6.19181423;3356.192566;9
106.8303606;-6.185129524;18552.75779;6
106.8338674;-6.200903939;13110.03608;13
106.8481031;-6.202044784;29870.73791;12
106.8383711;-6.149383494;10947.96225;5
106.8290266;-6.154260882;64825.8317;7
106.8328966;-6.153015615;49343.30986;7
106.8282103;-6.14207515;27726.39244;6
106.8343487;-6.166053392;8480.02117;7
106.8477354;-6.171585604;36505.42784;7
106.8465892;-6.19351509;12961.74863;10
106.8462551;-6.183441508;51467.47566;9
106.8401806;-6.183158909;43939.59732;7
106.8525268;-6.193406894;41898.89371;11
106.8394176;-6.176252446;10665.01854;7
106.8089897;-6.208609146;16987.86039;11
106.8014729;-6.216285407;1519.700536;12
106.8158026;-6.185198554;20237.05722;7
106.8165046;-6.207068922;15955.1587;7
106.8170351;-6.190325362;38264.78873;8
106.8159866;-6.19711636;33113.10993;8
106.8059239;-6.196890347;47431.74251;10
106.7971038;-6.290527367;10443.76447;37
106.8050043;-6.272776144;14114.4555;31
106.7929901;-6.270972063;15339.54802;33
106.7789698;-6.301289059;11119.83471;45
106.7969952;-6.309307635;14524.41831;49
106.8086336;-6.336388279;14249.70379;62
106.8020956;-6.353790864;12059.1865;70
106.8192488;-6.325102936;15987.83505;58
106.8368582;-6.325657066;29646.52674;47
106.824501;-6.348400669;10731.73262;64
106.8474937;-6.30678494;13636.18912;45
106.7808398;-6.22925702;19108.90052;21
106.8043945;-6.261689649;23141.36986;27
106.7909953;-6.257867575;31932.66259;21
106.7927256;-6.235959922;8544.217687;21
106.7923893;-6.244783226;14087.96481;24
106.8021975;-6.245593694;2528.588565;25
106.811141;-6.243192363;16184.36271;22
106.80188;-6.253277613;5351.735016;25
106.8130889;-6.236362991;9643.269786;21
106.8045395;-6.234225303;2365;22
106.810345;-6.226809065;2232.52776;17
106.7728914;-6.238087453;25668.90843;20
106.7871071;-6.217228129;15846.91729;16
106.7790366;-6.254297195;19666.04463;26
