"","PopDensity","x","y"
"1127",21736.2606189962,695400,-691120
"1128",23233.2535796428,696320,-691120
"1129",21714.4628254357,697240,-691120
"1130",18167.1611985913,698160,-691120
"1131",12602.270251162,699080,-691120
"1132",16140.6990298753,7e+05,-691120
"1133",29705.0697505678,700920,-691120
"1134",26105.1930824598,701840,-691120
"1135",27916.4240806598,702760,-691120
"1136",21061.6630903153,703680,-691120
"1137",23658.4009647714,704600,-691120
"1138",25991.2751415639,705520,-691120
"1139",24114.8286564713,706440,-691120
"1140",26387.0665118793,707360,-691120
"1141",25877.0228194167,708280,-691120
"1142",24542.1226241142,709200,-691120
"1143",23073.2097666975,710120,-691120
"1144",21173.9996258239,711040,-691120
"1145",22671.2301467327,711960,-691120
"1146",22150.3936570381,712880,-691120
"1147",20347.9977901569,713800,-691120
"1148",22121.0650331537,714720,-691120
"1197",22107.9843844634,693560,-690200
"1198",23041.779476927,694480,-690200
"1199",24376.2365267942,695400,-690200
"1200",24484.4856848807,696320,-690200
"1201",21431.4280395137,697240,-690200
"1202",15759.5850902898,698160,-690200
"1203",13597.6545951522,699080,-690200
"1204",15235.570324148,7e+05,-690200
"1205",18247.2171285697,700920,-690200
"1206",22356.5492819653,701840,-690200
"1207",24373.6963033008,702760,-690200
"1208",23077.6934988016,703680,-690200
"1209",22994.289092608,704600,-690200
"1210",25610.3398415111,705520,-690200
"1211",33943.4044435954,706440,-690200
"1212",30709.2337782771,707360,-690200
"1213",27856.4155694507,708280,-690200
"1214",25768.8599951705,709200,-690200
"1215",23010.7093077753,710120,-690200
"1216",22527.7998994595,711040,-690200
"1217",21791.8079978215,711960,-690200
"1218",21824.0362499061,712880,-690200
"1219",17151.3711952622,713800,-690200
"1220",22269.8631121452,714720,-690200
"1269",22284.0898533601,693560,-689280
"1270",24042.38780972,694480,-689280
"1271",25469.6652999328,695400,-689280
"1272",22984.1953762783,696320,-689280
"1273",20096.8886318357,697240,-689280
"1274",14685.5971128099,698160,-689280
"1275",13913.5703469492,699080,-689280
"1276",10915.8464064655,7e+05,-689280
"1277",15450.8088606734,700920,-689280
"1278",16967.4395122557,701840,-689280
"1279",15753.5551074341,702760,-689280
"1280",21870.1475542536,703680,-689280
"1281",20251.5619160005,704600,-689280
"1282",23925.7603220732,705520,-689280
"1283",44527.1645501717,706440,-689280
"1284",32227.8706532429,707360,-689280
"1285",28328.4216585085,708280,-689280
"1286",26249.8524273434,709200,-689280
"1287",19864.8320653784,710120,-689280
"1288",22189.0020342922,711040,-689280
"1289",18112.9418768794,711960,-689280
"1290",23043.6466793857,712880,-689280
"1291",25114.064389374,713800,-689280
"1292",24440.9153770099,714720,-689280
"1340",17893.0267079106,692640,-688360
"1341",21551.6593567185,693560,-688360
"1342",22564.5880252925,694480,-688360
"1343",24044.4418281121,695400,-688360
"1344",24537.7365792823,696320,-688360
"1345",20787.9908476679,697240,-688360
"1346",19192.9634961132,698160,-688360
"1347",16752.1033177618,699080,-688360
"1348",11787.6855348428,7e+05,-688360
"1349",10772.9824265198,700920,-688360
"1350",16880.2189745974,701840,-688360
"1351",20788.6829946431,702760,-688360
"1352",27476.813031397,703680,-688360
"1353",34379.2419189873,704600,-688360
"1354",33916.6445752334,705520,-688360
"1355",30011.9801410855,706440,-688360
"1356",31842.0873713013,707360,-688360
"1357",31446.3710976361,708280,-688360
"1358",26182.2423991891,709200,-688360
"1359",26030.8620979479,710120,-688360
"1360",25945.2494527316,711040,-688360
"1361",24594.1145286051,711960,-688360
"1362",24964.4487705429,712880,-688360
"1363",32570.664167587,713800,-688360
"1364",24434.1543832368,714720,-688360
"1410",19340.1821588458,690800,-687440
"1411",16566.8744107856,691720,-687440
"1412",14786.6391420477,692640,-687440
"1413",19796.1836028767,693560,-687440
"1414",21035.8134641615,694480,-687440
"1415",23146.2358574881,695400,-687440
"1416",24934.2150073921,696320,-687440
"1417",21245.1036694847,697240,-687440
"1418",19306.7158762484,698160,-687440
"1419",8398.0304964914,699080,-687440
"1420",17099.2171598545,7e+05,-687440
